best_x,best_y,hmax,maxeval,neval
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0],0.2999999999999998,0.0,1000.0,inf
[0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0],0.8999999999999995,0.0,1000.0,inf
[0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 1],0.40000000000000036,0.0,1000.0,inf
[1 1 1 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0],0.6000000000000005,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0],0.7000000000000002,0.0,1000.0,inf
[1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1],0.20000000000000018,0.0,1000.0,inf
[1 1 0 1 1 1 0 1 1 1 1 1 0 0 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0],0.8999999999999995,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0],0.1999999999999993,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 1],0.8999999999999995,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1],0.9000000000000004,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0],0.1999999999999993,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1],0.6000000000000005,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.2999999999999998,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0],0.5,0.0,1000.0,inf
[1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 1 1 1 1 1 1 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1 1],0.8000000000000007,0.0,1000.0,inf
[1 0 1 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1],0.9000000000000004,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1],0.7000000000000002,0.0,1000.0,inf
[1 0 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1],0.7999999999999998,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0.7000000000000002,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],0.2999999999999998,0.0,1000.0,inf
[1 1 1 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[1 1 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[1 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0],0.6000000000000005,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1],0.09999999999999964,0.0,1000.0,inf
[0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],0.6000000000000005,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1],0.40000000000000036,0.0,1000.0,inf
[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.1999999999999993,0.0,1000.0,inf
[1 1 1 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1],0.7000000000000002,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0],0.6000000000000005,0.0,1000.0,inf
[1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 1 0 1 0 0 1 0 0 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 0 0],0.5,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0],0.6000000000000005,0.0,1000.0,inf
[1 1 1 0 0 0 0 1 1 0 0 0 1 1 1 1 1 1],0.7999999999999998,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[1 1 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 0 1 0 1 1 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[1 0 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 0],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0],0.7000000000000002,0.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0],0.6000000000000005,0.0,1000.0,inf
[0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0 0 0],0.9999999999999991,0.0,1000.0,inf
[0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0],0.4999999999999991,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0],0.2999999999999998,0.0,1000.0,inf
[0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1],0.20000000000000018,0.0,1000.0,inf
[0 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0],0.7999999999999998,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1 1],0.5,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1],0.5,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0],0.6000000000000005,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0],0.40000000000000036,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 1 0],0.8000000000000007,0.0,1000.0,inf
[0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0],0.9999999999999991,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0],0.40000000000000036,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 1 1 1],0.5,0.0,1000.0,inf
[1 0 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 0 0],0.5,0.0,1000.0,inf
[0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1 1 1],0.40000000000000036,0.0,1000.0,inf
[0 0 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 0 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0],0.5,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.2999999999999998,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],0.1999999999999993,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.1999999999999993,0.0,1000.0,inf
[1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1],0.7000000000000002,0.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0],0.6000000000000005,0.0,1000.0,inf
[1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0],0.5,0.0,1000.0,inf
[1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 1 1 1],0.5999999999999996,0.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 0],0.6000000000000005,0.0,1000.0,inf
[1 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0],0.5999999999999996,0.0,1000.0,inf
[1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0],0.6999999999999993,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0 0],0.6000000000000005,0.0,1000.0,inf
[1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 1 1],0.7999999999999998,0.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 1 1],0.7000000000000002,0.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0],0.6999999999999993,1.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1],0.20000000000000018,1.0,1000.0,inf
[1 1 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0],1.0,1.0,1000.0,inf
[1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1],0.5999999999999996,1.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1],0.09999999999999964,1.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0],1.0,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0],0.5999999999999996,1.0,1000.0,inf
[0 0 0 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0],0.5999999999999996,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1],0.7000000000000011,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 1 1],0.40000000000000036,1.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0 1 0],0.5,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],0.2999999999999998,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1],0.20000000000000018,1.0,1000.0,inf
[0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1],0.2999999999999998,1.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 0 0 1 1 1 0 0 0],0.5999999999999996,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0],0.5999999999999996,1.0,1000.0,inf
[0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1],0.20000000000000018,1.0,1000.0,inf
[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1],0.3000000000000007,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1],0.5999999999999996,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0],0.5,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 1],0.7999999999999998,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],0.2999999999999998,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0],0.6999999999999993,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1],0.2999999999999998,1.0,1000.0,inf
[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0],0.7000000000000002,1.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.0,1.0,1000.0,613.0
[1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0],0.5999999999999996,1.0,1000.0,inf
[1 1 1 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1],0.5999999999999996,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 0 0 0],0.6999999999999993,1.0,1000.0,inf
[1 1 1 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1],0.7999999999999998,1.0,1000.0,inf
[1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0],0.2999999999999998,1.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],0.8999999999999995,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0],0.2999999999999998,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 1],0.7000000000000002,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 0 0],0.5,1.0,1000.0,inf
[1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 1 1 1],1.0,1.0,1000.0,inf
[1 1 1 1 1 1 0 0 0 1 1 1 0 0 0 0 1 0],0.5,1.0,1000.0,inf
[1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1],0.9000000000000004,1.0,1000.0,inf
[0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0],0.7000000000000002,1.0,1000.0,inf
[0 0 0 1 1 1 0 0 0 1 1 1 1 1 0 1 1 1],0.40000000000000036,1.0,1000.0,inf
[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0],0.40000000000000036,1.0,1000.0,inf
[1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],0.5999999999999996,1.0,1000.0,inf
[0 1 1 1 1 1 0 0 0 1 1 1 0 0 0 1 1 1],0.40000000000000036,1.0,1000.0,inf
